POTUS, 1789 George Washington, 1797 John Adams, 1801 Thomas Jefferson, 1809 James Madison, 1817 James Monroe, 1825 John Quincy Adams, 1829 Andrew Jackson, 1837 Martin van Buren, 1841 William Henry Harrison, 1845 James K. Polk, 1849 Zachary Taylor, 1853 Franklin Pierce, 1857 James Buchanan, 1861 Abraham Lincoln, 1869 Ulysses S. Grant, 1877 Rutherford B. Hayes, 1881 James A. Garfield, 1885 Grover Cleveland, 1889 Benjamin Harrison, 1893 Grover Cleveland, 1897 William McKinley, 1901 Theodore Roosevelt, 1909 William Howard Taft, 1913 Woodrow Wilson, 1921 Warren G. Harding, 1923 Calvin Coolidge, 1929 Herbert Hoover, 1933 Franklin D. Roosevelt, 1945 Harry S. Truman, 1953 Dwight D. Eisenhower, 1961 John F. Kennedy, 1969 Richard Nixon, 1977 Jimmy Carter, 1981 Ronald Reagan, 1993 William J. Clinton, 2001 George W. Bush, 2009 Barack Obama, 2017 Donald J. Trump
shall, 0, 0, 7, 0, 6, 0, 0, 0, 10, 11, 15, 9, 18, 0, 0, 0, 8, 10, 18, 0, 7, 0, 12, 9, 8, 0, 0, 7, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0
great, 0, 0, 0, 0, 29, 9, 0, 6, 21, 6, 0, 6, 11, 0, 0, 9, 11, 0, 12, 0, 0, 0, 8, 0, 6, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
was, 0, 8, 0, 7, 16, 9, 0, 19, 29, 8, 0, 9, 0, 0, 8, 0, 7, 0, 17, 0, 6, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
world, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 13, 12, 6, 22, 14, 8, 11, 0, 8, 18, 0, 0, 6
if, 0, 25, 0, 0, 8, 0, 0, 8, 26, 12, 0, 0, 0, 0, 0, 0, 6, 0, 8, 7, 0, 0, 15, 0, 0, 16, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0
these, 0, 0, 11, 0, 16, 0, 0, 12, 9, 7, 0, 6, 8, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 18, 19, 0, 9, 8, 0, 0, 0, 0, 0, 0, 10, 0
only, 0, 8, 0, 0, 7, 0, 0, 8, 19, 8, 0, 11, 7, 0, 0, 0, 0, 0, 14, 0, 0, 0, 7, 0, 0, 13, 11, 7, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0
other, 0, 0, 6, 0, 17, 10, 0, 8, 26, 12, 0, 0, 6, 0, 0, 0, 0, 0, 9, 0, 0, 0, 13, 0, 0, 7, 10, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
constitution, 0, 8, 6, 0, 0, 8, 0, 0, 36, 15, 0, 0, 17, 0, 0, 6, 15, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
public, 0, 6, 14, 0, 0, 9, 0, 0, 11, 8, 0, 6, 9, 0, 0, 11, 0, 11, 17, 8, 6, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nation, 0, 9, 0, 0, 8, 8, 0, 0, 7, 0, 0, 6, 6, 0, 0, 0, 9, 0, 8, 0, 0, 0, 0, 0, 0, 8, 12, 0, 0, 0, 0, 0, 9, 6, 0, 8, 6, 6
peace, 0, 0, 0, 0, 10, 9, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 7, 13, 15, 0, 13, 12, 0, 12, 0, 0, 0, 0, 0, 0
every, 0, 0, 0, 0, 13, 0, 0, 20, 13, 11, 0, 9, 0, 0, 0, 6, 0, 0, 0, 9, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 7
power, 0, 0, 0, 0, 11, 0, 0, 8, 47, 8, 0, 11, 7, 0, 0, 0, 9, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
there, 0, 0, 0, 0, 7, 0, 0, 0, 26, 7, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 0, 17, 17, 6, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0
such, 0, 6, 0, 0, 14, 0, 0, 7, 17, 8, 0, 0, 9, 0, 0, 0, 0, 0, 7, 0, 0, 0, 21, 0, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
one, 0, 0, 0, 0, 6, 0, 0, 6, 26, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 7, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 8
own, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 10, 9, 0, 0, 7, 0, 6, 0, 0, 6, 0, 0, 0
would, 0, 0, 0, 0, 18, 0, 0, 7, 22, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 10, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
union, 0, 0, 0, 0, 0, 20, 9, 0, 11, 31, 0, 0, 9, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
than, 0, 7, 0, 0, 0, 0, 0, 6, 19, 11, 0, 8, 9, 0, 0, 0, 8, 0, 10, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0
united, 0, 0, 0, 0, 16, 0, 0, 0, 10, 13, 0, 0, 8, 0, 0, 7, 7, 0, 0, 0, 9, 0, 6, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0
